id,premise,hypothesis,label,attacked_hypothesis,generator
2469,또한 양질의 녹색 중소기업을 육성하고 그린분야 스타트업 밀집지역인 그린 스타트업 타운을 조성한다.,그린 스타트업 타운에서 양질의 녹색 중소기업을 육성한다.,1,녹색 중소 기업들을 키우기 위해 그린 스타트업 타운이 나선다.,clova
2470,병원에서 공식적으로 은퇴하려는 록키에게 아폴로가 정식으로 리매치를 하자고 한다.,록키는 이미 공식적으로 은퇴하였다.,2,록키는 공식적인 절차를 거쳐 이미 은퇴를 선언했다.,clova
2471,이 영화가 바로 권총으로 날라다니는 헬기를 격추시키는 장면이 나오는 바로 그 영화 인가요,권총으로 날라다니는 헬기를 격추시키는 장면이 존재한다.,0,헬리콥터를 권총 사격으로 떨어뜨리는 상황이 포함되어 있다.,clova
2472,"이에 따라 정부는 입국심사 단계에서부터 재입국 외국인이 신고한 국내 주소에 대한 실제 거주여부, 자가격리 적합여부 등을 철저히 검증할 방침이다.",정부는 입국심사 단계에서만 재입국 외국인이 신고한 국내 주소에 대한 실제 거주여부를 검증할 방침이다.,2,정부는 재입국 외국인이 입국심사 시 제출한 국내 주소가 실제로 거주 중인지를 확인하겠다는 계획이다.,clova
2473,공항철도를 운영하는 코레일공항철도 측은 보도자료를 통해 공항철도 개통으로 인천공항의 경쟁력이 한층 강화된다고 강조했다.,코레일공항철도 측은 공항철도 개통과 관련된 보도자료를 낸 적이 없다.,2,코레일공항철도는 공항철도 개통에 대한 어떠한 보도자료도 배포한 이력이 없다.,clova
2474,"자외선은 지구의 오존층을 약화시키며, 이 때문에 위도에 따라 자외선 양이 크게 변하여 사람의 피부색이 달라지는 원인이 되기도 한다.",자외선은 오존층을 강화한다.,2,오존층은 자외선으로 인해 강화된다.,clova
2475,"부모님은 두번째,저와 동생은 세비야에 처음 방문했어요.",동생은 세비야를 다시 방문하고 싶어해요.,1,동생은 또다시 세비야에 가고 싶어 합니다.,clova
2476,각종 행사 안내와 시설물에 대한 정보는 4대강 이용도우미 포탈을 통해서 확인이 가능하다.,4대강 이용도우미 포탈을 통해서는 행사 안내만 확인 가능하다.,2,포털인 4대강 이용 도우미를 통해 확인할 수 있는 건 오직 행사에 대한 안내뿐이다.,clova
2477,정세균 국무총리와 김현미 국토교통부 장관 등이 유홍준 민간공동위원장의 설명을 들으며 용산기지 내부 모형을 살펴보고 있다.,국토교통부 장관은 김현미이다.,0,국토교통부의 수장은 김현미 장관이다.,clova
2478,"해양바이오소재연구단의 박진병 이화여대 교수 연구팀은 이 사업의 일환으로 연구를 추진하였으며, 세계 최초로 이와 같은 기술 개발에 성공한 것이다.",연구 성과에 대한 보답으로 박진병 교수 연구팀은 큰 금액의 연구비를 받았다.,1,박진병 교수 연구팀은 뛰어난 연구 실적을 인정받아 많은 연구비를 지급받았다.,clova
2479,교육부는 앞으로 연체가산금리를 추가 인하해 채무자의 상환 부담을 완화하고 연체를 조기에 해소할 수 있도록 지원할 계획이다.,앞으로 교육부는 연체가산금리를 추가적으로 인상하여 채무자의 상환 부담을 가중할 계획이다.,2,앞으로 교육부에서는 채무자의 상환 부담 증가를 목적으로 연체 가산 금리의 인상을 추가로 진행하려 한다.,clova
2480,다시 시드니에 간다면 또 여길 방문할 것입니다.,여기 다시는 오고 싶지 않습니다.,2,다시는 이곳에 발걸음하고 싶지 않네요.,clova
2481,"사전신청 기간은 24일부터 오는 29일까지며, 당첨자는 30일 오후 4시에 발표된다.",신청은 행정복지센터에서 할 수 있다.,1,행정복지센터에서 신청을 진행할 수 있습니다.,clova
2482,친절했고 인테리어도 사진에서 보던 그대로에요.,인테리어와 사진이 딴판이네요.,2,사진과는 달리 인테리어가 전혀 다르군요.,clova
2483,이 기간동안 이완구 총리 후보자에 대한 임명동의안이 통과되었고 4개 부처에 대한 개각이 있는 등 호재로 작용할 수 있는 요소들이 많았다.,이완구가 4개 부처에 대한 변화를 지시하였다.,1,이완구는 네 개 정부부처에서의 변화들을 명했다.,clova
2484,"항체 및 혈장 치료제, 백신 3대 플랫폼 기술 등을 중심으로 개발 기업에 대한 임상시험 단계별 예산을 지원한다.",개발 기업에 대해 임상시험 예산을 지원한다.,0,임상시험 예산은 개발을 진행 중인 기업에게 지원된다.,clova
2485,개인적으로 페리터미널이나 셩완역쪽은 버스로 이동하는 것이 훨씬 편했습니다.,페리터미널이나 셩완역쪽은 버스만 이용하겠습니다.,1,페리 터미널 또는 셩완 역 방향으로는 버스를 통해서만 이동하겠습니다.,clova
2486,이렇게 낮은 평점을 받을 영화는 아니다,평점 1점을 받은 영화다.,1,평점이 오직 1점으로 평가된 작품이다.,clova
2487,홍현희 씨는 비공개 결혼을 하자 악플들이 달렸다고 전했다.,홍현희는 집요한 악플들로 힘들었다.,1,홍현희가 겪은 것은 끈질긴 악성 댓글로 인한 고통이었다.,clova
2488,숙소 위치도 역 주변이라 이동하기 편합니다.,숙소에서 역까지는 걸어서 5분 거리입니다.,1,숙소와 역 사이가 도보로 단 5분이면 충분한 거리에 있습니다.,clova
2489,이사도라와 마리사는 홀어머니 밑에서 함께 자란 자매이다.,이사도라와 마리사는 아버지가 안계신다.,0,이사도라나 마리사의 아버지께서는 돌아가셨다.,clova
2490,"경찰은 그동안 이데일리, 경기과학기술진흥원, 경기도, 성남시 등 행사 관계자와 야외광장 시설 관리자 등 20여명을 참고인 신분으로 불러 조사했다.",성남시 행사 관계자는 경찰의 조사를 받았다.,0,경찰이 성남시 행사를 관리하는 관계자들에 대해 조사했다.,clova
2491,"윤일병 사건이 벌어진 28사단, 임병장 사건이 벌어진 22사단의 사단장이 경징계를 받았습니다.",28사단은 윤일병 사건이 벌어진 곳이다.,0,윤 일병 사건은 28사단에서 발생한 일이다.,clova
2492,대학교라는 공간이 주는 색다른 느낌도 인상적이었다.,대학교라는 건물이 주는 색다른 느낌도 인상적이었다.,1,대학교 건물에서 느껴지는 독특한 감촉이 매우 인상 깊었다.,clova
2493,기존 농촌 태양광 융자지원은 예산 조기소진에 따라 500억원을 증액했다.,기존 농촌 태양광 융자지원 예산은 아직 충분하다.,2,현재 농촌 태양광 대출 지원금은 여전히 넉넉하다.,clova
2494,세시간동안 단 한번도 눈을 돌린적이 없었던 영화였다.,세시간 내내 스릴 넘쳤던 영화였다.,1,세 시간 동안 끊임없이 긴장감 넘치는 작품이었다.,clova
2495,물리적 거리두기를 실천하기 위해 작업자는 서로 마주보지 않도록 배치돼야 하고 마스크 등 개인보호 장구를 착용해야 한다.,개인보호 장구만 착용한다면 물리적 거리두기를 완벽히 실천하는 것이다.,1,물리적으로 거리를 완벽하게 지킬 수 있는 것은 오직 개인 보호 장비 착용뿐이다.,clova
2496,다른 웬만한 멜로영화보다 나한테는 이영화가 훨씬 재미있었다.,다른 웬만한 멜로 영화에 비해 이 영화는 아쉬웠다.,2,"일반적인 로맨스 작품들과 비교했을 때, 해당 작품은 다소 실망스러웠다.",clova
2497,그냥 상실의 시대 뮤비를 보는것 같았다.,상실의 시대 뮤비를 보는 것과는 전혀 달랐다.,2,상실의 시대를 담은 뮤직비디오와는 전혀 판이했다.,clova
2498,"비도시지역 난개발 방지를 위한 입지규제 합리화, 그 밖에 제도운영상 미비점 개선사항 등도 포함됐다.",제도운영상 미비점 개선사항들은 미포함되었다.,2,제도 운용상 미비한 점에 대한 개선 사항은 포함되지 않았다.,clova
2499,동시에 전당대회 성격을 당헌 개정이 아니라 구성원의 의견을 마지막으로 듣는 절차를 거쳐 의결하는 것으로 바꾸기로 했다.,동시에 전당대회에 당지도부 선출도 함께 하기로 했다.,1,동시에 열린 전당대회에서 당 지도부를 선출하기로 하였다.,clova
2500,마치 한국의 드라마를 보는 것 같았다,한국의 드라마를 보는 것과 비슷했다.,0,한국 드라마 시청하는 일과 유사하였다.,clova
2501,호스트가 굉장히 관리를 잘하고 있는 곳입니다.,호스트가 굉장히 관리는 잘하지만 연락이 잘 되지 않습니다.,1,"호스트는 관리 능력이 뛰어나지만, 소통에는 다소 문제가 있습니다.",clova
2502,좋아하는 코미디 중 항상 열 손가락에 들어가는 너무도 사랑하는 영화,좋아하는 코미디 영화가 한 개 이상이다.,0,적어도 하나 이상의 코미디 영화를 좋아한다.,clova
2503,지난 2월 여중생을 납치하여 성폭행해 살해하여 1심에서 사형이 선고된 김길태에 항소심은 무기징역을 선고했다.,김길태는 항소심에서도 1심과 같은 선고를 받았다.,2,김길태는 1심과 동일하게 항소심에서도 판결을 받았네.,clova
2504,생활환경이 비슷해야 공감할 수 있다.,가족구성원이 비슷해도 공감할 수 있다.,1,비슷한 가족 구성원을 가지고 있으면 공감이 가능하다.,clova
2505,소더버그표 영화에 실망이란 없는 법이지.,소더버그는 실망한 적이 없는 감독이지.,0,소더버그 감독은 실망을 주지 않아요.,clova
2506,금강호는 우리나라의 하늘을 최초로 날았던 조선인 안창남 선생이 몰았던 비행기로 복엽기에 안창남 선생이 직접 한반도 그림 및 자신의 이름을 한자로 붙였다.,금강호는 단엽기다.,2,금강호라는 것은 단엽 비행기이다.,clova
2507,"양양공항의 항공기 운항이 중단되고 영동고속도로 강릉방향 진부나들목 부근, 동해고속도로 전구간, 국도7호선의 삼척구간이 통제되기도 했다.",강원도 일대의 고속도로의 교통이 차단되기도 했다.,0,강원도 지역 내 여러 고속도로에서 통행이 막히기도 하였다.,clova
2508,이런영화에 투자하지 않는것이 진정한 한국영화의 발전을위한 초석,본 영화 중에 제일 별로다.,1,봤던 작품들 중 최악이다.,clova
2509,액션에 감성까지 갖춘 고퀄러티 드라마,감성에 액션에 로맨스까지 있는 드라마.,1,감성과 액션이 결합된 로맨스 드라마.,clova
2510,인근에 제법 맛이좋은 식당도 많이 있습니다.,식당 가격도 대체로 저렴합니다.,1,대부분의 식당은 가격이 저렴하게 형성되어 있습니다.,clova
2511,영상에서 쓰나미는 먼 바다에서 빠르게 다가오더니 이내 바닷가에 있는 마을을 덮친다.,쓰나미는 해상에서 사라졌다.,2,쓰나미가 바다에서 자취를 감췄다.,clova
2512,"노태우씨는 1212 군사반란 사건의 주범으로, 해당 사건과 518 사건 죄목으로 서훈이 취소되었으나, 아직 반납하지 않았습니다.",노태우씨의 서훈은 아직 반납되지 않았다.,0,노태우 씨에게 수여된 서훈은 여전히 반환되지 않은 상태다.,clova
2513,별다섯개도 모자랄만큼 훌륭한 숙소였습니다.,특히 호스트가 친절한 것이 매우 훌륭했습니다.,1,호스트의 친절함이 아주 뛰어났습니다.,clova
2514,공예명장관에서는 송현경 대한민국 명장을 포함한 한경희 광주 공예명장 등의 작품 20여 점을 통해 전통 공예의 진수를 보여줄 예정이다.,공예명장관에서 명장들의 작품을 보여줄 예정이다.,0,공예 명장이 선보이는 작품들이 곧 공예명장관서 전시될 계획이다.,clova
2515,1992년 사업가 에르네스토 마르텔의 비서 레나는 위독한 아버지의 병원비를 대기 위해 에르네스토의 정부가 된다.,에르네스토 마르텔의 비서 레나의 아버지는 건강을 되찾는다.,1,레나 아버지께서는 에르네스토 마르텔 비서의 도움으로 건강을 회복하게 되었다.,clova
2516,특히 발굴 36년 만에 처음으로 북분 금관과 금허리띠를 비롯한 여러 국보급의 귀중한 유물들이 관람객을 맞는다.,관람객을 맞이 하는 유물은 국보급의 북분 금관 하나뿐이다.,2,"국보에 버금가는 유일한 전시품은 북분 금관으로, 이는 관람객들을 반긴다.",clova
2517,뉴스레터는 광고를 통해 재원을 마련할 수 있고 독자는 무료로 양질의 정보를 얻을 수 있다.,뉴스레터는 양질의 정보를 제공하는 것을 최우선으로 한다.,1,뉴스레터는 가장 우선시하는 것이 고품질 정보의 제공이다.,clova
2518,래퍼 도끼가 호텔 펜트하우스를 떠나 이사한다.,래퍼 도끼는 당분간 호텔 펜트하우스에서 계속 살 예정이다.,2,래퍼 도끼가 앞으로 줄곧 머물게 될 곳은 그 호텔의 최상층부이다.,clova
2519,6월 26일부터 7월 12일까지 진행되는 동행세일의 피날레를 장식할 이번 행사에서는 다양한 볼거리와 즐길거리를 제공한다.,동행세일의 피날레에 마술쇼가 준비되어 있다.,1,동행 세일 마지막 순서에는 마술 공연이 마련되어 있습니다.,clova
2520,"또한 파라솔, 물놀이 용품 등 임대를 중지하고, 20분 간격으로 방역수칙 준수 안내 방송을 할 계획이다.","파라솔, 물놀이 용품 등 임대를 한달간 중지한다.",1,물놀이 용품이나 파라솔 대여를 이번 달에는 일시 중단합니다.,clova
2521,이에 따르면 정부는 우선 단기과제로 기초생활보장종합계획 개편을 추진한다.,정부가 추진하는 과제는 모두 장기과제 뿐이다.,2,정부가 주도하는 모든 프로젝트들은 오직 장기간에 걸쳐야 할 일들뿐이다.,clova
2522,"이후 음성신고는 도내 도로보수원에게 전달되었고, 도로보수원은 위치를 확인해 출동했다.",도로보수원은 위치를 확인하지 못해 출동하지 못했다.,2,도로 보수원이 위치 파악 실패로 출동을 하지 못했다.,clova
2523,"나이아가라 폭포가 위치한 미국 뉴욕 주와 캐나다 온타리오 주 일대는 한파가 일주일째 이어지며 기온이 영하 37도, 체감온도 영하 50도를 오르내리고 있다.",뉴욕 주와 온타리오 주 일대의 한파는 최근 100년 중 가장 강력한 한파이다.,1,최근 백 년 사이 뉴욕주와 온타리오주에서 발생한 한파가 가장 강력하다.,clova
2524,"운임인상에 대한 결정권은 서울시로 이전되었으며, 예상운임 수입에 못 미칠 경우 최소 수익을 보장해 줬었지만 앞으로는 부족한 부분만 비용으로 지원해 준다.",운임인상에 대한 결정권은 처음부터 서울시에 있었다.,2,서울시가 애초부터 운임 인상 여부에 관한 권한을 갖고 있었다.,clova
2525,이에 따라 유료방송결합서비스도 통신사업자 고객센터나 온라인판매점 또는 가까운 통신사 대리점과 판매점에서 편리하게 원스톱으로 사업자 전환을 신청할 수 있게 됐다.,유료방송결합서비스를 편리하게 사업자 전환 신청할 수 있게 해달라는 민원이 급증했다.,1,"급증하는 민원 중 하나로는, 유료 방송 결합 서비스를 보다 간편히 사업자를 바꿀 수 있도록 해 달라는 요청이 있다.",clova
2526,이에 일부 사람들은 연약지반에도 불구하고 민원만을 수용해 무리하게 하저터널로 바꾼 조치가 이번 사고의 원인이 되었다며 비판하는 목소리를 냈다.,하저터널은 민원과 관계 없는 조치였다.,2,하저 터널에 관한 조치는 민원과는 관련이 없었다.,clova
2527,스키르니르는 주인의 분노를 두려워하면서도 명령받은 바를 수행한다.,주인의 분노는 스키르니르에게 두려움의 대상이다.,0,주인이 화를 내면 스키르니르는 겁에 질린다.,clova
2528,로베르트의 동료인 풀헨치오가 신문의 실종자 란에서 비센테의 얼굴을 보고 그가 6년 전 성전환 수술을 집도했던 그 사람이라는 것을 알게 된다.,비센테의 얼굴이 신문의 실종자란에 올라왔다.,0,실종자란에는 현재 비센테가 얼굴을 드러내고 있다.,clova
2529,지난달 26일 오전 7시 55분에 촬영된 영상은 경찰 신체에 부착된 바디캠 영상 일부로 긴박했던 당시 상황을 고스란히 보여준다.,바디캠은 충격으로 인해 당시 완벽히 기능을 상실했었다.,2,당시에는 충격을 받아 바디캠이 완전히 작동불능 상태였다.,clova
2530,전개도 너무 느리고 점점 스토리 이상해집니다.,전개가 너무 시원시원합니다.,2,이야기가 아주 속이 뻥 뚫리게 진행됩니다.,clova
2531,바르셀로나에서 처음으로 집같은 느낌을 받았어요.,집에 온 느낌을 바르셀로나에서 받았어요.,0,바르셀로나에 갔더니 집에서 느꼈던 감정이 들었어요.,clova
2532,"자진 납부 방안에는 압류된 재산을 포기하고, 모자라는 부분은 자녀와 3남 재만씨 장인인 이희상 동아원 회장 등이 나눠서 부담하기로 한 것으로 보인다.",이희상 동아원 회장은 딸이 있다.,0,이희상 동아원 회장의 자녀 중에는 딸도 포함되어 있다.,clova
2533,수영장이겸비된 테라스는 정말최고였습니다,테라스 수영장에서 수영했습니다.,1,수영장에서 테라스의 물을 이용하여 수영하였습니다.,clova
2534,대다수 학부모가 주거지 인근에 초등돌봄시설 설치를 선호하고 있어 돌봄센터의 설치는 돌봄 공백 해소에 도움이 될 것으로 보인다.,학부모의 대부분은 주거지 인근에 초등돌봄시설이 설치되기를 원한다.,0,대부분의 학부모들은 자신들의 거주지 근처에 초등학교 돌봄 시설이 생기길 바라고 있다.,clova
2535,"사고 발생 즉시 2호선 전 열차의 운행이 중지됐으며, 승객에게 다른 교통수단 이용을 권고하는 안내 방송이 이뤄졌다.",사고 후 승객들은 대부분 버스를 이용했다.,1,사고 이후 대다수의 승객들이 주로 버스를 활용하였다.,clova
2536,억지감동과 더 억지스러운 전개에 짜증이난다,감동보다 전개가 더 억지스러웠다.,0,전개가 감동을 뛰어넘어 너무 작위적이었다.,clova
2537,의료관광객 유치업체 육성 및 분야별 교육을 제공하고 국내 여행사 대상 공모로 융합형 치유 관광상품 개발에도 착수한다.,융합형 치유 관광상품은 대한항공과 아시아나 항공에서만 공모한다.,1,융합 치유 관광 상품의 공모 대상은 오직 대한항공과 아시아나항공뿐이다.,clova
2538,화면 중앙 눈 덮인 농가를 중심으로 설정된 여백이 부각되는 작품이다.,여백의 미가 돋보이는 작품이다.,0,작품에서 빈 공간의 아름다움이 두드러진다.,clova
2539,최근에 본 영화중 부시맨을 따라오는게 없다,최근에 본 영화는 모두 부시맨보다 낫다.,2,최근에 감상한 영화들은 모두 부시맨보다 훌륭하다.,clova
2540,세영은 다짜고짜 오빠 축의금으로 들어온 돈으로 자동차를 한 대 사달라고 하지만 상수의 아내 영숙은 세일의 결혼 축의금을 한 푼도 줄 수 없다고 선언한다.,세영은 결혼 축의금을 모두 영숙에게 양보했다.,2,세영이 결혼 축의금 전부를 영숙에게 건넸다.,clova
2541,"소련점령지역에서는 정확히 알려진 바는 없지만 1950년까지 13,532명이 유죄판결을 받았다는 한 통계가 있다.",소련점령지역에서는 유죄판결 관련한 어떠한 통계도 남아있지 않다.,2,소련의 점령 지역 내에는 유죄 판결에 관한 어떤 통계도 존재하지 않는다.,clova
2542,우선 근로자 휴가지원 사업은 국내 관광 활성화에 크게 기여했다.,국내 관광 활성화에 근로자 휴가지원 사업이 크게 이바지했다.,0,국내 여행 산업 활성화를 위해 시행된 근로자의 휴가 지원 정책이 큰 기여를 하였다.,clova
2543,혹시나 옛날 영화를 너무 요즘 기준에서 본다,옛날 영화를 요즘 기준으로 보면 안된다.,1,과거에 제작된 영화는 현대적인 시각에서 평가하면 안 된다.,clova
2544,"이번 사건은 스크린도어를 정비하던 19세 남성이 열차 진입 알림음을 듣지 못해, 열차와 스크린도어 사이에 낌으로서 발생했다고 한다.",19세 남성이 스크린도어를 정비하고 있었다.,0,19세의 젊은 남성이 스크린도어의 정비를 담당하며 작업 중이었다.,clova
2545,호스트가 매우 친절하고 응답속도도 빠릅니다.,친절하고 빨리 응답하는 호스트입니다.,0,응답이 신속하며 친절한 호스트로군요.,clova
2546,그리고 남편의 사망에 충격을 받아 자살을 기도했던 엘시 큐빗은 다행히도 건강을 회복했다.,엘시 큐빗의 남편은 사망했다.,0,엘시의 배우자는 생을 마감하였다.,clova
2547,극장용 장편보다는 텔레비전 연속극용으로 더 어울리는 각본이 아닌가 싶은데,각본은 처음에 텔레비전 연속극용이었다.,1,처음에는 해당 각본이 TV 연속극용으로 기획되었다.,clova
2548,이러한 사례가 처음 국민들에게 체감 할 수 있게 전달되기 시작한 것이 2010년 개통된 오송역 역사 부실사건이었다.,오송역 역사는 2014년에 개통되었다.,2,오송역의 역사가 2014년 문을 열었다.,clova
2549,"무수리는 황새목 황새과에 속하는 물새로 인도 아삼주, 캄보디아에 걸쳐 서식한다.",무수리는 인도에서만 서식한다.,2,무수리라는 동물은 오직 인도에서밖에 살지 않는다.,clova
2550,다만 호스트의 친절함이나 보살핌은 기대이상이었습니다.,호스트의 친절함은 기대 이하였습니다.,2,호스트가 보여준 친절은 예상보다 훨씬 못 미쳤습니다.,clova
2551,"한편, 세쌍둥이의 아빠가 된 슈렉은 반복되는 일상과 더 이상 무서운 오거가 아닌 사람들의 구경거리로 전락해버린 삶에 염증을 느끼기 시작한다.",슈렉은 세쌍동이를 데리고 깊은 산속으로 들어가 숨는다.,1,슈렉이 깊은 산속에 숨어들 때 삼둥이를 동반하였다.,clova
2552,"그 당시, 스포츠 자동차는 대부분 연비를 생각하지 않고 무조건 빠르게만 만드는 것이 특징이었다.",그 당시 스포츠 자동차의 특징은 연비 상관없이 빠르게 만드는 것이다.,0,그때 스포츠카를 제작하는 목적은 연료 효율과 무관하게 속력을 높이는 것이었다.,clova
2553,배달 앱 주문할 때 맛집 찾는 방법이 주목을 받고 있다.,배달 앱으로 주문이 가능하다.,0,배달 어플리케이션 통해 주문할 수 있다.,clova
2554,어느 날 에이미는 갑작스레 에드의 사망 소식을 듣게 되지만 어떻게 된 일인지 그 후에도 여느 때처럼 에드의 편지들이 도착한다.,에드는 죽지 않았다.,1,에드는 사망하지 않았다.,clova
2555,한류 마케팅을 위해 부처 협력으로 한류박람회를 연 2회 개최하고 한류스타 협업 소비재 한류상품 개발도 지원한다.,한류 마케팅을 위해 부처 협력으로 한류박람회를 연 1회 개최한다.,2,부처 간 협력을 통해 일년에 단 한번씩 한류 박람회를 개최하여 한류 마케팅에 기여한다.,clova
2556,"또 2023년부터 주식 양도소득에 대해 소액주주와 대주주 구분 없이 과세하되, 연간 2000만원까지 비과세하기로 했다.",2023년부터 주식 양도소득에 대해 대주주만 과세한다.,2,2023년 이후부터 주식을 팔아 얻은 소득에 대해서는 대주주에게만 세금을 매긴다.,clova
2557,하지만 전라남도 복싱 일반부 선수들은 올 해 첫 출전한 대회에 입상함으로써 다가온 제100회 전국체육대회에서의 입상 전망을 높였다.,전라남도 복싱 일반부 선수들은 올 해 첫 출전한 대회에서 아무도 입상하지 못했다.,2,올해 처음으로 경기에 참가했던 전라남도의 복싱 일반 부문 선수들이 어떠한 수상도 하지 못했다.,clova
2558,먼저 환경부는 가격연동제 미적용 공동주택을 대상으로 재활용품 계약단가 조정을 관계부처와 공동으로 지자체에 권고할 예정이다.,환경부는 가격연동제 적용 공동주택을 대상으로 재활용품 계약단가 조정을 관계부처와 공동으로 지자체에 권고할 예정이다.,2,환경부는 지자체에게 공동주택 중 가격연동제가 적용된 주택들의 재활용품 계약 단가를 조정하라고 관계 부처들과 함께 권고할 계획이다.,clova
2559,경찰은 정확한 결과 확인을 위해 국과수에 정밀 감정을 의뢰할 방침이다.,국과수는 정밀 감정이 2주가 걸릴 것이라 예상했다.,1,국과수가 예측하길 정밀 감정에는 약 2주 정도 소요될 것으로 보인다.,clova
2560,지속적인 데이터 수집을 위한 관리 제도도 마련한다.,일시적인 데이터 수집을 위한 관리 제도는 이미 마련되있다.,1,일시적으로 데이터를 모으기 위한 관리 체계는 이미 준비되어 있다.,clova
2561,1960년대에서 1970년대 말 오비슨은 그의 음반 판매량의 감소와 더불어 각종 개인적 악재로 고초를 겪었다.,오비슨의 음반은 1960년대에서 1970년대 말에 이전보다 많이 팔렸다.,2,오비슨이 발매한 음반들이 60~70년대에 예전보다 훨씬 잘 팔렸었다.,clova
2562,공사는 아울러 올해부터 전 역사에 초미세먼지까지 걸러낼 수 있는 고성능 공기청정기를 본격적으로 설치한다.,고성능 공기청정기는 이미 전 역사에 설치되어있다.,2,모든 역사에는 이미 고성능 공기 청정기가 마련되어 있다.,clova
2563,예쁜집과 세심한 배려가 인상적이였습니다,집은 예쁘지 않았습니다.,2,그 집은 아름답지 못했습니다.,clova
2564,연락도 아주 잘 되구 너무 친절하십니다.,매일마다 연락해주셔서 좋았습니다.,1,매일 연락 주시는 것이 기뻤습니다.,clova
2565,내용도 단순 재미도 감동도 볼거리도 없다.,내용이 복잡하지 않고 볼거리가 많지 않다.,0,볼거리가 적으며 내용도 간단하다.,clova
2566,극 전개와 극중인물들의 감정표현의 적절한 조화로 지루할 틈이 없었다.,극에 나오는 인물들의 감정표현과 극 전개와 잘 어우러진다.,0,극 속 등장인물들이 표현하는 감정이 이야기 전개를 잘 보완한다.,clova
2567,호스트의 빠른응답과 친절함이 좋았습니다.,호스트가 너무 불친절했습니다.,2,호스트의 태도가 매우 불쾌할 정도로 불친절하였습니다.,clova
2568,춤을 좋아하는 분들에게는 적절하겠지만 그외에는 시간낭비다.,춤을 좋아하는 사람에게는 시간 낭비다.,2,춤에 관심 없는 이들에게는 시간 허비가 될 뿐이다.,clova
2569,"숙소 위치, 시살, 상태는 매우 만족스러웠다.",만족스러운 숙소 위치였다.,0,숙소 위치가 아주 흡족하였다.,clova
2570,저는 전반적으로 만족스러운 숙소였습니다,여러모로 엉망이었던 숙소였습니다.,2,숙소가 여러 방면으로 엉망이었습니다.,clova
2571,"뿐만 아니라 매월 사용자에게 발송되는 청구서, 안내자료 등을 통해 지속적으로 설명하고 있다.",매월 발송되는 안내자료는 존재하지 않는다.,2,안내 자료가 매달 발송된다는 것은 사실이 아니다.,clova
2572,"눈금 피펫은 정해진 범위 안에서 원하는 부피를 자유롭게 취할 수 있지만, 정밀도는 홀 피펫에 비해 떨어지는 단점이 있다.",눈금 피펫이 더 경제적이다.,1,눈금을 읽을 수 있는 피펫이 비용을 절감할 수 있다.,clova
2573,특히 가정방문시 감염 예방수칙을 철저히 지키며 대상자가 원할 경우 전화나 화상을 통한 상담 방식도 활용할 계획이다.,감염 예방수칙을 철저히 지키며 가정방문할 계획이다.,0,가정방문을 계획하면서 철저한 감염 예방수칙 준수를 목표로 한다.,clova
2574,아름답고 화려한 영상미에 스토리 짜임새도 훌륭합니다.,아름답고 화려한 영상미로 유명합니다.,1,화려하고 아름다운 영상미를 자랑하는 것으로 잘 알려져 있습니다.,clova
2575,군은 농업인의 참여도 제고와 경제적 부담 절감을 위해 시범사업의 자부담률을 낮췄다.,군이 시범사업의 자부담률을 낮춤으로 소상공인들의 경제적 부담도 낮아졌다.,1,"군이 시범사업에서 소상공인들이 지불해야 할 비율을 줄이자, 그들의 경제적 부담이 경감되었다.",clova
2576,이제 국회가 통과한 추경안을 신속하게 집행하는 일이 중요합니다.,통과한 추경안의 수가 엄청나게 많습니다.,1,추경안 중 다수가 통과되었습니다.,clova
2577,디아스 대통령은 법을 고쳐서 땅을 찾게 해줄 테니 기다리라고 말하며 농민들을 구슬린다.,디아스는 농민들에게 강경한 태도만을 고수한다.,2,디아스는 오로지 강경한 입장만으로 농민들을 대한다.,clova
2578,나영은 플레디스 엔터테인먼트 연습생 중에서도 유난히 방송 활동이 잦은 편이다.,나영은 플레디스 엔터테인먼트 연습생이다.,0,나영은 플레디스엔터에서 연습하고 있다.,clova
2579,"중앙 광장에는 유르타 몇 개가 설치되어 있으며, 모여든 참가자들 중에서 기념 연설을 할 예정이다.",중앙 광장에는 동상만 설치되어 있다.,2,중앙광장에 세워진 것은 오직 동상뿐이다.,clova
2580,"진도군민과 범부처사고대책본부, 실종자 가족이 오늘 만나 실종자 가족들의 거처를 옮기는 문제에 대해 논의했지만, 결론은 나지 않았습니다.",회의에서 진도군민과 대책본부의 의견이 갈렸습니다.,1,대책본부와 진도군민의 입장이 회의 중에 서로 달랐습니다.,clova
2581,"초기의 양자역학은 원자폭탄, 반도체 등에 이론적 배경을 제공했고 후기의 양자역학은 물질에 대한 인간의 인식에 큰 변화를 주었다는 것에 큰 의의가 있다.",양자역학은 인간의 인식변화에 아무 영향을 주지 못했다.,2,인간의 인식 변화에는 어떠한 영향도 미치지 못한 것이 바로 양자역학이다.,clova
2582,문화체육관광부 해외문화홍보원은 일본이 군함도 전시관인 산업유산정보센터에 역사적 왜곡을 한 것에 대해 국제사회와 공조해 대응 방안을 모색해 나간다.,문화체육관광부 해외문화홍보원은 일본이 산업유산정보센터에 역사적 왜곡을 한 것에 대해 독자적으로 대응 방안을 모색해 나간다.,2,"해외문화홍보원은 문화체육관광부 소속으로, 일본에서 발생한 산업유산정보센터 내 역사왜곡 문제에 대한 독자적인 대응책을 마련할 예정이다.",clova
